id,key,English,Hindi,Tamil,Gujarati,Bengali,Telugu,Marathi,Malayalam,Kannada,channel
"1","changeAccountVariant","Change Account Variant","???? ??????? ?????","?????? ????? ?????????","Change Account Variant","Change Account Variant","????? ???????????? ????????","Change Account Variant","Change Account Variant","????? ???????????? ????????","IB"
"2","equitasSavingsAccount","Equitas Savings Account","इक्विटास के साथ अपना पैसा बढ़ाएँ","Equitas சேமிப்பு கணக்கு","Equitas Savings Account","Equitas Savings Account","Equitas Savings Account","Equitas Savings Account","Equitas Savings Account","ಈಕ್ವಿಟಾಸ್ ಉಳಿತಾಯ ಖಾತೆ","IB"
"3","currentA/c","CURRENT A/C","इक्विटास के साथ अपना पैसा बढ़ाएँ","தற்போதைய கணக்கு","CURRENT A/C","CURRENT A/C","CURRENT A/C","CURRENT A/C","CURRENT A/C","ಚಾಲ್ತಿ ಖಾತೆ","IB"
"4","nearestBranch","Contact the Nearest Branch","नज़दीकी शाखा से संपर्क करें","அருகில் உள்ள கிளையை தொடர்பு கொள்ளவும்","Contact the Nearest Branch","Contact the Nearest Branch","Contact the Nearest Branch","Contact the Nearest Branch","Contact the Nearest Branch","ಹತ್ತಿರದ ಶಾಖೆಯನ್ನು ಸಂಪರ್ಕಿಸಿ","IB"
"5","nps","NPS","NPS","NPS","NPS","NPS","NPS","NPS","NPS","NPS","IB"
"6","otherDetailsForm15","Detials of Form No. 15H other than this form filled","इक्विटास के साथ अपना पैसा बढ़ाएँ","இந்தப் படிவத்தைத் தவிர, படிவம் எண். 15H இன் விவரங்கள் நிரப்பப்பட்டுள்ளன","Detials of Form No. 15H other than this form filled","Detials of Form No. 15H other than this form filled","Detials of Form No. 15H other than this form filled","Detials of Form No. 15H other than this form filled","Detials of Form No. 15H other than this form filled","ಈ ಫಾರ್ಮ್ ಅನ್ನು ಹೊರತುಪಡಿಸಿ ಫಾರ್ಮ್ ಸಂಖ್ಯೆ 15H ನ ವಿವರಗಳನ್ನು ಭರ್ತಿ ಮಾಡಲಾಗಿದೆ","IB"
"7","tenureMonthHelper","If you invest for 36 months, you will receive an additional ₹3200 at maturity.","यदि आप 36 महीने के लिए निवेश करते हैं, तो आपको परिपक्वता पर अतिरिक्त ₹3200 प्राप्त होंगे।","நீங்கள் 36 மாதங்களுக்கு முதலீடு செய்தால், முதிர்ச்சியின் போது கூடுதலாக ₹ 3200 பெறுவீர்கள்.","If you invest for 36 months, you will receive an additional ₹3200 at maturity.","If you invest for 36 months, you will receive an additional ₹3200 at maturity.","ನೀವು 36 ತಿಂಗಳವರೆಗೆ ಹೂಡಿಕೆ ಮಾಡಿದರೆ, ನೀವು ಮೆಚ್ಯುರಿಟಿಯ ಸಮಯದಲ್ಲಿ ಹೆಚ್ಚುವರಿ ₹3200 ಪಡೆಯುತ್ತೀರಿ.","If you invest for 36 months, you will receive an additional ₹3200 at maturity.","If you invest for 36 months, you will receive an additional ₹3200 at maturity.","ನೀವು 36 ತಿಂಗಳವರೆಗೆ ಹೂಡಿಕೆ ಮಾಡಿದರೆ, ನೀವು ಮೆಚ್ಯುರಿಟಿಯ ಸಮಯದಲ್ಲಿ ಹೆಚ್ಚುವರಿ ₹3200 ಪಡೆಯುತ್ತೀರಿ.","IB"
"8","incomeMentionedToBeIncluded","Income mentioned in column the previous to be included","इक्विटास के साथ अपना पैसा बढ़ाएँ","சேர்க்கப்பட வேண்டிய முந்தைய நெடுவரிசையில் வருமானம் குறிப்பிடப்பட்டுள்ளது","Income mentioned in column the previous to be included","Income mentioned in column the previous to be included","Income mentioned in column the previous to be included","Income mentioned in column the previous to be included","Income mentioned in column the previous to be included","ಸೇರಿಸಬೇಕಾದ ಹಿಂದಿನ ಕಾಲಂನಲ್ಲಿ ಆದಾಯವನ್ನು ನಮೂದಿಸಲಾಗಿದೆ","IB"
"9","depositTitle2","Your Money","तुम्हारे पैसे","உங்கள் பணம்","Your Money","Your Money","ನಿಮ್ಮ ದುಡ್ಡು","Your Money","Your Money","ನಿಮ್ಮ ದುಡ್ಡು","IB"
"10","cancelSI","Cancel SI","इक्विटास के साथ अपना पैसा बढ़ाएँ","நிலையான அறிவுறுத்தலை ரத்துசெய்","Cancel SI","Cancel SI","Cancel SI","Cancel SI","Cancel SI","SI ರದ್ದುಮಾಡಿ","IB"
"11","middleName","Middle Name","मध्य नाम","நடுப்பெயர்","Middle Name","Middle Name","ಮಧ್ಯದ ಹೆಸರು","Middle Name","Middle Name","ಮಧ್ಯದ ಹೆಸರು","IB"
"12","depositTitle1","Deposit & Grow","जमा करें और बढ़ें","டெபாசிட் செய்து அதிகரித்திடுங்கள்","Deposit & Grow","Deposit & Grow","ಠೇವಣಿ ಮತ್ತು ಬೆಳವಣಿಗೆ","Deposit & Grow","Deposit & Grow","ಠೇವಣಿ ಮತ್ತು ಬೆಳವಣಿಗೆ","IB"
